title,link
"Florida man arrested at Mar-a-lago, says he came to talk to Trump about 'his $6.3 trillion'",https://www.local10.com/news/florida/palm-beach-county/florida-man-arrested-at-mar-a-lago-says-he-came-to-talk-to-trump-about-his-63-trillion
Florida man arrested after naked chase,https://www.local10.com/news/florida/florida-man-arrested-after-naked-chase
"Florida man dresses in drag to buy puppy with stolen credit card, police say",https://www.local10.com/news/florida/florida-man-dresses-in-drag-to-buy-puppy-with-stolen-credit-card-police-say
Florida man hangs on after glider pilot forgets to strap him in,https://www.local10.com/news/florida/florida-man-hangs-on-after-glider-pilot-forgets-to-strap-him-in
South Florida man fears deportation after legally living in US for 16 years,https://www.local10.com/video/south-florida-man-fears-deportation-after-legally-living-in-us-for-16-years
"Florida man burns Gators flag on car, says he roots for Hurricanes",https://www.local10.com/news/weird-news/florida-man-burns-gators-flag-on-car-says-he-roots-for-hurricanes
South Florida man charged in connection with pipe bomb packages,https://www.local10.com/news/florida/plantation/south-florida-man-charged-in-connection-with-pipe-bomb-packages
Black Florida man wrongly convicted of murder in 1960s dies at age 83,https://www.local10.com/news/florida/black-florida-man-wrongly-convicted-of-murder-in-1960s-dies-at-age-83
Florida man dressed as Fred Flintstone pulled over for driving 'footmobile',https://www.local10.com/news/florida/florida-man-dressed-as-fred-flintstone-pulled-over-for-driving-footmobile
"Florida man gropes woman on flight, tells police Trump 'says it's OK'",https://www.local10.com/news/florida/accused-of-groping-woman-florida-man-cites-trump-authorities-say
Florida man arrested in inflatable dinosaur costume on battery charges,https://www.local10.com/news/florida/florida-man-arrested-in-inflatable-dinosaur-costume-on-battery-charges
"'Florida Man' spotted riding jet ski on Florida road... yes, road",https://www.local10.com/news/weird-news/florida-man-spotted-riding-jet-ski-on-florida-road-yes-road
South Florida man pleads guilty to mailing bombs to Trump foes,https://www.local10.com/video/south-florida-man-pleads-guilty-to-mailing-bombs-to-trump-foes-1
Florida man tries to start naked fight club at Chick-Fil-A,https://www.local10.com/news/weird-news/florida-man-tries-to-start-naked-fight-club-at-chick-fil-a
South Florida man accused of attacking boy with knife says devil made him do it,https://www.local10.com/news/florida/palm-beach-county/south-florida-man-accused-of-attacking-boy-with-knife-says-devil-made-him-do-it
"Plants, but no pants: Florida man gardens in the nude",https://www.local10.com/news/florida/plants-but-no-pants-florida-man-gardens-in-the-nude
Florida man accused of cutting off penis of ex's new boyfriend,https://www.local10.com/news/florida-man-accused-of-cutting-off-penis-of-exs-new-boyfriend
Florida man charged with threatening senators over Kavanaugh vote,https://www.local10.com/news/crime/florida-man-charged-with-threatening-senators-over-kavanaugh-vote
"Wig helps lead to arrest of Florida man in 7-Eleven robbery, deputies say",https://www.local10.com/news/florida/wig-helps-lead-to-arrest-of-florida-man-in-7-eleven-robbery-police-say
Florida man dies after altercation with police at Publix,https://www.local10.com/news/florida/florida-man-dies-after-altercation-with-police-at-publix
Naked Florida man causes fire while baking cookies on George Foreman Grill,https://www.local10.com/news/florida/naked-florida-man-causes-fire-baking-cookies-on-george-foreman-grill
"Florida man dies in e-cigarette explosion, police say",https://www.local10.com/health/florida-man-dies-in-ecigarette-explosion-police-say
Stolen smokes: Florida man gets 20 years for cigarette theft,https://www.local10.com/news/florida/stolen-smokes-florida-man-gets-20-years-for-cigarette-theft
"Florida man accused in fatal 'stand your ground' shooting posts $100,000 bail",https://www.local10.com/news/national/florida-man-accused-in-stand-your-ground-shooting-posts-100k-bail
Florida man threatened others before shooting man,https://www.local10.com/news/national/florida-man-threatened-others-before-shooting-man
GoFundMe ends Florida man's effort to raise money for border wall,https://www.local10.com/news/florida/wall-donations-refunded-or-shifted-to-non-profit-effort
"Florida man bags 1,000-lb. alligator",https://www.local10.com/news/talkers/florida-man-bags-1000lb-alligator
Florida man busted trying to take marijuana that washed up on beach,https://www.local10.com/news/florida/florida-man-busted-trying-to-take-marijuana-that-washed-up-on-beach
Florida man arrested for giving girlfriend a 'wet willy',https://www.local10.com/news/florida/florida-man-arrested-for-giving-girlfriend-a-wet-willy
"Florida man, 88, burns raccoon over eating mangoes, police say",https://www.local10.com/news/florida/florida-man-88-burns-raccoon-over-eating-mangoes-police-say
South Florida man used gun tied to weather balloon to fake his murder,https://www.local10.com/news/florida/palm-beach-county/south-florida-man-used-gun-tied-to-weather-balloon-to-fake-his-murder
Florida man charged with attacking minion on boardwalk,https://www.local10.com/news/florida/florida-man-charged-with-attacking-minion-on-boardwalk
Florida man kills himself after day-long standoff with deputies,https://www.local10.com/news/florida/florida-man-kills-himself-after-day-long-standoff-with-deputies
"Florida man accused of driving drunk, causing fiery crash that killed 5",https://www.local10.com/news/florida/florida-man-accused-of-driving-drunk-causing-fiery-crash-that-killed-5
"Florida man 'enjoyed' arrest, thought it was like being on 'Live PD'",https://www.local10.com/news/florida/florida-man-enjoyed-arrest-thought-it-was-like-being-on-live-pd
